"evd_id"	"doi"	"title"	"venue"	"year"	"verified_by_role"	"verified_at"	"source_url"	"match_yes_no"	"resolution"	"notes"
"EVD-NC-001"	"10.1016/j.theriogenology.2024.06.005"	"Antibody fragments targeting the extracellular domain of follicular stimulating hormone receptor for contraception in male dogs and cats"	"Theriogenology"	"2024"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1016/j.theriogenology.2024.06.005"	"Y"	"none"	"doi_url=https://doi.org/10.1016/j.theriogenology.2024.06.005"
"EVD-NC-002"	"10.1021/jm049676l"	"Identification of Substituted 6-Amino-4-phenyltetrahydroquinoline Derivatives:  Potent Antagonists for the Follicle-Stimulating Hormone Receptor"	"Journal of Medicinal Chemistry"	"2005"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1021/jm049676l"	"Y"	"none"	"doi_url=https://doi.org/10.1021/jm049676l"
"EVD-NC-003"	"10.1210/en.2018-00317"	"Allosteric Regulation of the Follicle-Stimulating Hormone Receptor"	"Endocrinology"	"2018"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1210/en.2018-00317"	"Y"	"none"	"doi_url=https://doi.org/10.1210/en.2018-00317"
"EVD-NC-004"	"10.3389/fendo.2018.00757"	"Small Molecule Follicle-Stimulating Hormone Receptor Agonists and Antagonists"	"Frontiers in Endocrinology"	"2019"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.3389/fendo.2018.00757"	"Y"	"none"	"doi_url=https://doi.org/10.3389/fendo.2018.00757"
"EVD-NC-005"	"10.1016/j.mce.2016.07.013"	"Profiling of FSHR negative allosteric modulators on LH/CGR reveals biased antagonism with implications in steroidogenesis"	"Molecular and Cellular Endocrinology"	"2016"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1016/j.mce.2016.07.013"	"Y"	"none"	"doi_url=https://doi.org/10.1016/j.mce.2016.07.013"
"EVD-NC-006"	"10.1016/j.mce.2010.12.023"	"A negative allosteric modulator demonstrates biased antagonism of the follicle stimulating hormone receptor"	"Molecular and Cellular Endocrinology"	"2011"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1016/j.mce.2010.12.023"	"Y"	"none"	"doi_url=https://doi.org/10.1016/j.mce.2010.12.023"
"EVD-NC-007"	"10.1095/biolreprod.113.109397"	"Inhibition of Follicle-Stimulating Hormone-Induced Preovulatory Follicles in Rats Treated with a Nonsteroidal Negative Allosteric Modulator of Follicle-Stimulating Hormone Receptor1"	"Biology of Reproduction"	"2014"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1095/biolreprod.113.109397"	"Y"	"none"	"doi_url=https://doi.org/10.1095/biolreprod.113.109397"
"EVD-NC-008"	"10.1038/s41467-023-38721-0"	"Durable contraception in the female domestic cat using viral-vectored delivery of a feline anti-Müllerian hormone transgene"	"Nature Communications"	"2023"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1038/s41467-023-38721-0"	"Y"	"none"	"doi_url=https://doi.org/10.1038/s41467-023-38721-0"
"EVD-NC-009"	"10.1002/vms3.552"	"Vaginal stimulation enhances ovulation of queen ovaries treated using a combination of eCG and hCG"	"Veterinary Medicine and Science"	"2021"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1002/vms3.552"	"Y"	"none"	"doi_url=https://doi.org/10.1002/vms3.552"
"EVD-NC-010"	"10.1177/1098612X18791872"	"Hybrid model intermediate between a laboratory and field study: A humane paradigm shift in feline research"	"Journal of Feline Medicine and Surgery"	"2018"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1177/1098612X18791872"	"Y"	"none"	"doi_url=https://doi.org/10.1177/1098612x18791872"
"EVD-NC-011"	"10.1186/s13620-021-00189-z"	"Development of an ethogram/guide for identifying feline emotions: a new approach to feline interactions and welfare assessment in practice"	"Irish Veterinary Journal"	"2021"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1186/s13620-021-00189-z"	"Y"	"none"	"doi_url=https://doi.org/10.1186/s13620-021-00189-z"
"EVD-NC-012"	"10.3390/ani11010020"	"Comparison of the Morphology and Developmental Potential of Oocytes Obtained from Prepubertal and Adult Domestic and Wild Cats"	"Animals"	"2020"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.3390/ani11010020"	"Y"	"none"	"doi_url=https://doi.org/10.3390/ani11010020"
"EVD-NC-013"	"10.1016/j.theriogenology.2010.01.010"	"The GnRH antagonist acyline prevented ovulation, but did not affect ovarian follicular development or gestational corpora lutea in the domestic cat"	"Theriogenology"	"2010"	"自动核验（Crossref API）"	"2026-02-10"	"https://api.crossref.org/works/10.1016/j.theriogenology.2010.01.010"	"Y"	"none"	"doi_url=https://doi.org/10.1016/j.theriogenology.2010.01.010"
